    Value  Size Type    Bind   Vis      Ndx Name
 020018f4     4 OBJECT  GLOBAL DEFAULT    1 usb_configured
 020018f8     4 OBJECT  GLOBAL DEFAULT    1 usb_string_table
 020018fc    24 OBJECT  LOCAL  DEFAULT    1 usb_output_buffer
 02001914    64 OBJECT  LOCAL  DEFAULT    1 commInterface
 02001954    46 OBJECT  LOCAL  DEFAULT    1 dataInterface
 02001984     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_comm_interface
 0200198c  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_tx_urb
 02001da8    24 OBJECT  LOCAL  DEFAULT    1 usb_input_buffer
 02001dc0    40 OBJECT  LOCAL  DEFAULT    1 mt_usb_device
 02001de8    28 OBJECT  LOCAL  DEFAULT    1 mt_usb_data_alternate_int
 02001e04    52 OBJECT  LOCAL  DEFAULT    1 configuration
 02001e38    34 OBJECT  LOCAL  DEFAULT    1 product
 02001e5a    18 OBJECT  LOCAL  DEFAULT    1 manufacturer
 02001e6c     4 OBJECT  GLOBAL DEFAULT    1 tool_exists
 02001e70     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_interface
 02001e78     8 OBJECT  LOCAL  DEFAULT    1 mt_usb_data_interface
 02001e80    24 OBJECT  LOCAL  DEFAULT    1 tempart
 02001e98  3520 OBJECT  LOCAL  DEFAULT    1 new_part
 02002c58  3520 OBJECT  LOCAL  DEFAULT    1 lastest_part
 02003a18     4 OBJECT  GLOBAL DEFAULT    1 g_boot_time
 02003a1c     4 OBJECT  GLOBAL DEFAULT    1 g_boot_mode
 02003a20  3072 OBJECT  GLOBAL DEFAULT    1 sys_stack
 02004620     4 OBJECT  GLOBAL DEFAULT    1 g_boot_reason
 02004624     4 OBJECT  GLOBAL DEFAULT    1 kpoc_flag
 02004628     4 OBJECT  GLOBAL DEFAULT    1 g_meta_com_type
 0200462c     4 OBJECT  GLOBAL DEFAULT    1 g_meta_com_id
 02004630     4 OBJECT  LOCAL  DEFAULT    1 g_log_disable
 02004634   512 OBJECT  GLOBAL DEFAULT    1 g_SBC_PUBK
 02004834     8 OBJECT  GLOBAL DEFAULT    1 sec_cfg_info
 0200483c     4 OBJECT  GLOBAL DEFAULT    1 secroimg
 02004840     1 OBJECT  GLOBAL DEFAULT    1 bDumpPartInfo
 02004841     1 OBJECT  LOCAL  DEFAULT    1 bUsbHandshakeSuccess
 02004844     4 OBJECT  GLOBAL DEFAULT    1 g_sha1_time
 02004848     4 OBJECT  LOCAL  DEFAULT    1 img_buf
 0200484c     4 OBJECT  LOCAL  DEFAULT    1 chunk_buf
 02004850     4 OBJECT  LOCAL  DEFAULT    1 img_buf_current_allocated
 02004854     4 OBJECT  GLOBAL DEFAULT    1 g_cust
 02004858     4 OBJECT  GLOBAL DEFAULT    1 g_sec_cfg
 0200485c    32 OBJECT  GLOBAL DEFAULT    1 g_cust_name
 0200487c    92 OBJECT  GLOBAL DEFAULT    1 rsa
 020048d8    20 OBJECT  GLOBAL DEFAULT    1 sha1sum
 020048ec     4 OBJECT  GLOBAL DEFAULT    1 heap_current_alloc
 020048f0    84 OBJECT  LOCAL  DEFAULT    1 sej_ctx
 020076fc   960 OBJECT  GLOBAL DEFAULT    3 g_ROM_INFO
 02007c00   152 FUNC    GLOBAL DEFAULT    4 __udivsi3
 02007e1d   180 FUNC    GLOBAL DEFAULT    5 virt_to_phys_addr
 02007ed1    40 FUNC    GLOBAL DEFAULT    6 blkdev_register
 02007ef9    32 FUNC    GLOBAL DEFAULT    7 blkdev_get
 02007f19   458 FUNC    GLOBAL DEFAULT    8 blkdev_read
 020080e3   496 FUNC    GLOBAL DEFAULT    9 blkdev_write
 020082d5    76 FUNC    GLOBAL DEFAULT   10 buf_input_init
 02008321    76 FUNC    GLOBAL DEFAULT   11 buf_output_init
 0200836d    52 FUNC    GLOBAL DEFAULT   12 buf_pop
 020083a1    42 FUNC    GLOBAL DEFAULT   13 buf_push
 020083cb     2 FUNC    GLOBAL DEFAULT   14 cust_part_init
 020083cd    12 FUNC    GLOBAL DEFAULT   15 cust_part_tbl
 020083d9    46 FUNC    LOCAL  DEFAULT   16 uffs.part.0
 02008409   264 FUNC    GLOBAL DEFAULT   17 device_APC_dom_setup
 02008511    24 FUNC    GLOBAL DEFAULT   18 __div0
 02008529    36 FUNC    LOCAL  DEFAULT   19 usbdl_put_word
 0200854d    48 FUNC    LOCAL  DEFAULT   20 usbdl_put_dword
 0200857d    44 FUNC    LOCAL  DEFAULT   21 usbdl_get_word
 020085a9    56 FUNC    LOCAL  DEFAULT   22 usbdl_get_dword
 020085e1   116 FUNC    LOCAL  DEFAULT   23 usbdl_read16
 02008655   138 FUNC    LOCAL  DEFAULT   24 usbdl_write16
 020086e1  1636 FUNC    GLOBAL DEFAULT   25 usbdl_handler
 02008d45    80 FUNC    GLOBAL DEFAULT   26 mt_set_gpio_dir_chip
 02008d95    68 FUNC    GLOBAL DEFAULT   27 mt_set_gpio_pull_enable_c
 02008dd9    68 FUNC    GLOBAL DEFAULT   28 mt_set_gpio_pull_select_c
 02008e1d    56 FUNC    GLOBAL DEFAULT   29 mt_set_gpio_mode_chip
 02008e55     4 FUNC    GLOBAL DEFAULT   30 mt_set_gpio_dir
 02008e59     4 FUNC    GLOBAL DEFAULT   31 mt_set_gpio_pull_enable
 02008e5d     4 FUNC    GLOBAL DEFAULT   32 mt_set_gpio_pull_select
 02008e61     4 FUNC    GLOBAL DEFAULT   33 mt_set_gpio_mode
 02008e65    56 FUNC    GLOBAL DEFAULT   34 mt_gpio_init_post
 02008e9d     4 FUNC    LOCAL  DEFAULT   35 uart_recv
 02008ea1    26 FUNC    LOCAL  DEFAULT   36 uart_send
 02008ebd    76 FUNC    GLOBAL DEFAULT   37 uart_handshake_init
 02008f09   336 FUNC    GLOBAL DEFAULT   38 uart_handshake
 02009059    82 FUNC    LOCAL  DEFAULT   39 usb_recv
 020090ab    22 FUNC    LOCAL  DEFAULT   40 usb_send
 020090c1   724 FUNC    GLOBAL DEFAULT   41 usb_handshake
 02009511   768 FUNC    LOCAL  DEFAULT   43 bldr_cmd_handler
 02009811    60 FUNC    GLOBAL DEFAULT   44 bldr_load_part
 0200984d    96 FUNC    GLOBAL DEFAULT   45 bldr_jump
 020098b5   424 FUNC    GLOBAL DEFAULT   46 main
 02009a5d   110 FUNC    LOCAL  DEFAULT   47 mmc_switch_part
 02009acd    72 FUNC    LOCAL  DEFAULT   48 mmc_bwrite
 02009b15    72 FUNC    LOCAL  DEFAULT   49 mmc_bread
 02009b5d   544 FUNC    GLOBAL DEFAULT   50 mmc_init_device
 02009d7d   196 FUNC    GLOBAL DEFAULT   51 mmc_get_device_id
 02009e41    54 FUNC    GLOBAL DEFAULT   52 unstuff_bits
 02009e77     4 FUNC    GLOBAL DEFAULT   53 EFUSE_Query_SD_Card_Init_
 02009e7d    20 FUNC    GLOBAL DEFAULT   54 mmc_get_host
 02009e91    20 FUNC    GLOBAL DEFAULT   55 mmc_get_card
 02009ea5    50 FUNC    GLOBAL DEFAULT   56 mmc_cmd
 02009ed9    64 FUNC    LOCAL  DEFAULT   57 mmc_send_if_cond
 02009f19    60 FUNC    LOCAL  DEFAULT   58 mmc_app_cmd
 02009f55    82 FUNC    LOCAL  DEFAULT   59 mmc_send_app_op_cond
 02009fa7    84 FUNC    LOCAL  DEFAULT   60 mmc_send_op_cond
 02009ffd   160 FUNC    LOCAL  DEFAULT   61 mmc_sd_switch.isra.0.cons
 0200a09d    28 FUNC    GLOBAL DEFAULT   62 mmc_select_voltage
 0200a0b9    30 FUNC    GLOBAL DEFAULT   63 mmc_go_idle
 0200a0d7    44 FUNC    GLOBAL DEFAULT   64 mmc_send_status
 0200a103    36 FUNC    GLOBAL DEFAULT   65 mmc_select_card
 0200a127    86 FUNC    GLOBAL DEFAULT   66 mmc_send_relative_addr
 0200a17d   132 FUNC    GLOBAL DEFAULT   67 mmc_switch
 0200a201    80 FUNC    GLOBAL DEFAULT   68 mmc_switch_hs
 0200a251   308 FUNC    GLOBAL DEFAULT   69 mmc_read_ext_csd
 0200a385    38 FUNC    GLOBAL DEFAULT   70 mmc_set_card_detect
 0200a3ab    50 FUNC    GLOBAL DEFAULT   71 mmc_set_blk_length
 0200a3dd   308 FUNC    GLOBAL DEFAULT   72 mmc_set_bus_width
 0200a511   172 FUNC    GLOBAL DEFAULT   73 mmc_dev_bread
 0200a5bd   116 FUNC    GLOBAL DEFAULT   74 mmc_block_read
 0200a631   236 FUNC    GLOBAL DEFAULT   75 mmc_block_write
 0200a71d  2020 FUNC    GLOBAL DEFAULT   76 mmc_init_mem_card
 0200af01   172 FUNC    GLOBAL DEFAULT   77 mmc_init_card
 0200afad    36 FUNC    GLOBAL DEFAULT   78 mmc_init_host
 0200afd1   104 FUNC    GLOBAL DEFAULT   79 mmc_init
 0200b039    64 FUNC    GLOBAL DEFAULT   80 mmc_stuff_buff
 0200b079   272 FUNC    GLOBAL DEFAULT   81 mmc_get_sandisk_fwid
 0200b189     2 FUNC    GLOBAL DEFAULT   82 msdc_irq_init
 0200b18d   184 FUNC    GLOBAL DEFAULT   83 msdc_intr_wait
 0200b245     2 FUNC    GLOBAL DEFAULT   84 msdc_clock
 0200b249    88 FUNC    GLOBAL DEFAULT   85 msdc_set_timeout
 0200b2a1    84 FUNC    GLOBAL DEFAULT   86 msdc_set_blklen
 0200b2f5     6 FUNC    GLOBAL DEFAULT   87 msdc_set_blknum
 0200b2fd    32 FUNC    GLOBAL DEFAULT   88 msdc_set_dmode
 0200b31d     6 FUNC    GLOBAL DEFAULT   89 msdc_set_pio_bits
 0200b325    84 FUNC    GLOBAL DEFAULT   90 msdc_set_driving
 0200b379   212 FUNC    GLOBAL DEFAULT   91 msdc_pad_ctrl_init
 0200b44d    20 FUNC    GLOBAL DEFAULT   92 msdc_pin_pud
 0200b461     2 FUNC    GLOBAL DEFAULT   93 msdc_pin_pnul
 0200b465   100 FUNC    GLOBAL DEFAULT   94 msdc_config_clksrc
 0200b4c9   304 FUNC    GLOBAL DEFAULT   95 msdc_config_clock
 0200b5f9    52 FUNC    GLOBAL DEFAULT   96 msdc_config_bus
 0200b62d    24 FUNC    GLOBAL DEFAULT   97 msdc_config_pin
 0200b645     2 FUNC    GLOBAL DEFAULT   98 msdc_set_host_pwr
 0200b647    56 FUNC    GLOBAL DEFAULT   99 msdc_host_power
 0200b67f     2 FUNC    GLOBAL DEFAULT  100 msdc_card_power
 0200b681    48 FUNC    GLOBAL DEFAULT  101 msdc_power
 0200b6b1    10 FUNC    GLOBAL DEFAULT  102 msdc_intr_unmask
 0200b6bd   448 FUNC    GLOBAL DEFAULT  103 msdc_send_cmd
 0200b87d   144 FUNC    GLOBAL DEFAULT  104 msdc_wait_rsp
 0200b90d   208 FUNC    GLOBAL DEFAULT  105 msdc_abort
 0200b9dd   292 FUNC    GLOBAL DEFAULT  106 msdc_pio_read
 0200bb01   164 FUNC    GLOBAL DEFAULT  107 msdc_pio_write
 0200bba5   148 FUNC    GLOBAL DEFAULT  108 msdc_tune_cal_smaller_tri
 0200bc39   992 FUNC    GLOBAL DEFAULT  109 msdc_tune_cmdrsp
 0200c019    70 FUNC    GLOBAL DEFAULT  110 msdc_cmd
 0200c05f    64 FUNC    GLOBAL DEFAULT  111 msdc_cmd_stop
 0200c0a1   248 FUNC    GLOBAL DEFAULT  112 msdc_abort_handler
 0200c199   256 FUNC    GLOBAL DEFAULT  113 msdc_pio_bwrite
 0200c299   256 FUNC    GLOBAL DEFAULT  114 msdc_pio_bread
 0200c399   212 FUNC    GLOBAL DEFAULT  115 msdc_pio_send_sandisk_fwi
 0200c46d   228 FUNC    GLOBAL DEFAULT  116 msdc_pio_get_sandisk_fwid
 0200c551  1284 FUNC    GLOBAL DEFAULT  117 msdc_tune_bread
 0200ca55     6 FUNC    GLOBAL DEFAULT  118 msdc_reset_tune_counter
 0200ca5d   796 FUNC    GLOBAL DEFAULT  119 msdc_tune_read
 0200cd79   168 FUNC    GLOBAL DEFAULT  120 msdc_init_reg
 0200ce21   636 FUNC    GLOBAL DEFAULT  121 msdc_init
 0200d09d    50 FUNC    GLOBAL DEFAULT  122 msdc_uffs
 0200d0d1   296 FUNC    LOCAL  DEFAULT  123 mt_get_mdl_number
 0200d1f9    56 FUNC    GLOBAL DEFAULT  124 mt_get_dram_type
 0200d231   108 FUNC    GLOBAL DEFAULT  125 get_dram_rank_nr
 0200d29d    76 FUNC    GLOBAL DEFAULT  126 get_dram_rank_size
 0200d2e9  2180 FUNC    GLOBAL DEFAULT  127 __EMI_InitializeLPDDR
 0200db6d   284 FUNC    GLOBAL DEFAULT  128 __EMI_DataAutoTrackingReg
 0200dc89   148 FUNC    GLOBAL DEFAULT  129 __EmiDataTrainRegWrite
 0200dd1d   312 FUNC    GLOBAL DEFAULT  130 __EMI_DataTrackingMbistTe
 0200de55    64 FUNC    GLOBAL DEFAULT  131 __EMI_DataAutoTrackingMbi
 0200de95  1772 FUNC    GLOBAL DEFAULT  132 __EMI_DataAutoTrackingTra
 0200e581  1428 FUNC    GLOBAL DEFAULT  133 __EMI_EnableDataAutoTrack
 0200eb15   432 FUNC    GLOBAL DEFAULT  134 __EMI_EnablePerformancePo
 0200ecc5   328 FUNC    GLOBAL DEFAULT  135 __EMI_EnableBandwidthLimi
 0200ee0d   584 FUNC    GLOBAL DEFAULT  136 mt_set_emi
 0200f055   596 FUNC    GLOBAL DEFAULT  137 SRAM_repair
 0200f2a9     4 FUNC    GLOBAL DEFAULT  138 i2c_v1_set_speed
 0200f2ad     4 FUNC    GLOBAL DEFAULT  139 i2c_v1_read
 0200f2b1     4 FUNC    GLOBAL DEFAULT  140 i2c_v1_write
 0200f2b5    64 FUNC    GLOBAL DEFAULT  141 mtk_kpd_gpios_get
 0200f2f5   320 FUNC    GLOBAL DEFAULT  142 mtk_kpd_gpio_set
 0200f435   120 FUNC    GLOBAL DEFAULT  143 set_kpd_pmic_mode
 0200f4ad     2 FUNC    GLOBAL DEFAULT  144 enable_PMIC_kpd_clock
 0200f4b1   100 FUNC    GLOBAL DEFAULT  145 mtk_detect_key
 0200f515    48 FUNC    GLOBAL DEFAULT  146 mtk_detect_dl_keys
 0200f545    38 FUNC    GLOBAL DEFAULT  147 pmic_read_interface
 0200f56b    52 FUNC    GLOBAL DEFAULT  148 pmic_config_interface
 0200f59f     2 FUNC    GLOBAL DEFAULT  149 pmic_lock
 0200f5a1     2 FUNC    GLOBAL DEFAULT  150 pmic_unlock
 0200f5a3    28 FUNC    GLOBAL DEFAULT  151 upmu_set_rg_bc11_bb_ctrl
 0200f5bf    28 FUNC    GLOBAL DEFAULT  152 upmu_set_rg_bc11_rst
 0200f5db    28 FUNC    GLOBAL DEFAULT  153 upmu_set_rg_bc11_vsrc_en
 0200f5f7    34 FUNC    GLOBAL DEFAULT  154 upmu_get_rgs_bc11_cmp_out
 0200f619    28 FUNC    GLOBAL DEFAULT  155 upmu_set_rg_bc11_vref_vth
 0200f635    28 FUNC    GLOBAL DEFAULT  156 upmu_set_rg_bc11_cmp_en
 0200f651    28 FUNC    GLOBAL DEFAULT  157 upmu_set_rg_bc11_ipd_en
 0200f66d    28 FUNC    GLOBAL DEFAULT  158 upmu_set_rg_bc11_ipu_en
 0200f689    28 FUNC    GLOBAL DEFAULT  159 upmu_set_rg_bc11_bias_en
 0200f6a5    64 FUNC    GLOBAL DEFAULT  160 hw_bc11_init
 0200f6e5    68 FUNC    GLOBAL DEFAULT  161 hw_bc11_DCD
 0200f729    48 FUNC    GLOBAL DEFAULT  162 hw_bc11_stepA1
 0200f759    54 FUNC    GLOBAL DEFAULT  163 hw_bc11_stepB1
 0200f78f    54 FUNC    GLOBAL DEFAULT  164 hw_bc11_stepC1
 0200f7c5    60 FUNC    GLOBAL DEFAULT  165 hw_bc11_stepA2
 0200f801    54 FUNC    GLOBAL DEFAULT  166 hw_bc11_stepB2
 0200f837    46 FUNC    GLOBAL DEFAULT  167 hw_bc11_done
 0200f865   172 FUNC    GLOBAL DEFAULT  168 hw_charger_type_detection
 0200f911    68 FUNC    GLOBAL DEFAULT  169 mt_charger_type_detection
 0200f955    26 FUNC    GLOBAL DEFAULT  170 get_pmic6323_chip_version
 0200f971    60 FUNC    GLOBAL DEFAULT  171 pmic_detect_powerkey
 0200f9ad    38 FUNC    GLOBAL DEFAULT  172 pmic_IsUsbCableIn
 0200f9d5   536 FUNC    GLOBAL DEFAULT  173 hw_set_cc
 0200fbed    30 FUNC    GLOBAL DEFAULT  174 pl_hw_ulc_det
 0200fc0d   148 FUNC    GLOBAL DEFAULT  175 hw_check_battery
 0200fca1   128 FUNC    GLOBAL DEFAULT  176 pl_charging
 0200fd21    66 FUNC    GLOBAL DEFAULT  177 pl_kick_chr_wdt
 0200fd65    32 FUNC    GLOBAL DEFAULT  178 pl_close_pre_chr_led
 0200fd85   128 FUNC    GLOBAL DEFAULT  179 usbdl_wo_battery_forced
 0200fe05   112 FUNC    GLOBAL DEFAULT  180 pmic_init
 0200fe75   112 FUNC    LOCAL  DEFAULT  181 get_timer_masked
 0200fee5    12 FUNC    GLOBAL DEFAULT  182 gpt4_get_current_tick
 0200fef1    34 FUNC    GLOBAL DEFAULT  183 gpt4_timeout_tick
 0200ff15    24 FUNC    GLOBAL DEFAULT  184 gpt4_time2tick_us
 0200ff2d    28 FUNC    GLOBAL DEFAULT  185 gpt_busy_wait_us
 0200ff49    24 FUNC    GLOBAL DEFAULT  186 get_timer
 0200ff61    24 FUNC    GLOBAL DEFAULT  187 mdelay
 0200ff79   100 FUNC    GLOBAL DEFAULT  188 udelay
 0200ffdd    68 FUNC    GLOBAL DEFAULT  189 mtk_timer_init
 02010021    60 FUNC    LOCAL  DEFAULT  190 mtk_wdt_reset
 0201005d    60 FUNC    LOCAL  DEFAULT  191 mtk_wdt_mode_config.const
 02010099    16 FUNC    GLOBAL DEFAULT  192 mtk_wdt_restart
 020100a9    92 FUNC    GLOBAL DEFAULT  193 mtk_wdt_boot_check
 02010105   560 FUNC    GLOBAL DEFAULT  194 mtk_wdt_init
 02010335    24 FUNC    GLOBAL DEFAULT  195 mtk_arch_reset
 0201034d  1072 FUNC    GLOBAL DEFAULT  196 complex_mem_test
 0201077d    68 FUNC    GLOBAL DEFAULT  197 mt_mem_init
 020107c1    30 FUNC    GLOBAL DEFAULT  198 MFG_MM_SRAM_repair
 020107e1   220 FUNC    GLOBAL DEFAULT  199 mmsys_on
 020108bd   160 FUNC    GLOBAL DEFAULT  200 mmsys_off
 0201095d   124 FUNC    GLOBAL DEFAULT  201 mfg_on
 020109d9   112 FUNC    GLOBAL DEFAULT  202 mfg_off
 02010a49   192 FUNC    GLOBAL DEFAULT  203 ptp_init1
 02010b09    12 FUNC    LOCAL  DEFAULT  204 wait_for_fsm_vldclr
 02010b15    12 FUNC    LOCAL  DEFAULT  205 wait_for_sync
 02010b21    22 FUNC    LOCAL  DEFAULT  206 wait_for_idle_and_sync
 02010b37    10 FUNC    LOCAL  DEFAULT  207 wait_for_cipher_ready
 02010b41    80 FUNC    LOCAL  DEFAULT  208 wait_for_state_ready_init
 02010b91    84 FUNC    GLOBAL DEFAULT  209 pwrap_dump_ap_register
 02010be5   340 FUNC    LOCAL  DEFAULT  210 _pwrap_wacs2_nochk
 02010d39    14 FUNC    LOCAL  DEFAULT  211 pwrap_write_nochk
 02010d49  1748 FUNC    GLOBAL DEFAULT  212 pwrap_init
 0201141d   468 FUNC    GLOBAL DEFAULT  213 pwrap_wacs2
 020115f1    14 FUNC    GLOBAL DEFAULT  214 pwrap_write
 020115ff    14 FUNC    GLOBAL DEFAULT  215 pwrap_read
 0201160d    68 FUNC    GLOBAL DEFAULT  216 pwrap_init_preloader
 02011651   120 FUNC    LOCAL  DEFAULT  217 rtc_mktime
 020116c9    20 FUNC    LOCAL  DEFAULT  218 RTC_Read
 020116dd     4 FUNC    LOCAL  DEFAULT  219 RTC_Write
 020116e1    68 FUNC    LOCAL  DEFAULT  220 Write_trigger
 02011725    40 FUNC    LOCAL  DEFAULT  221 rtc_gpio_init
 0201174d   264 FUNC    LOCAL  DEFAULT  222 rtc_android_init
 02011855    82 FUNC    LOCAL  DEFAULT  223 rtc_lpd_init
 020118a7    58 FUNC    LOCAL  DEFAULT  224 rtc_xosc_write
 020118e1   232 FUNC    LOCAL  DEFAULT  225 get_frequency_meter
 020119c9   184 FUNC    LOCAL  DEFAULT  226 eosc_cali
 02011a81   182 FUNC    LOCAL  DEFAULT  227 rtc_measure_four_clock
 02011b37    44 FUNC    LOCAL  DEFAULT  228 Writeif_unlock
 02011b63    88 FUNC    LOCAL  DEFAULT  229 rtc_switch_mode
 02011bbd   204 FUNC    LOCAL  DEFAULT  230 rtc_frequency_meter_check
 02011c89    96 FUNC    LOCAL  DEFAULT  231 rtc_first_boot_init
 02011ce9   192 FUNC    LOCAL  DEFAULT  232 rtc_recovery_flow
 02011da9    36 FUNC    GLOBAL DEFAULT  233 rtc_bbpu_power_on
 02011dcd    32 FUNC    GLOBAL DEFAULT  234 rtc_mark_bypass_pwrkey
 02011ded    92 FUNC    GLOBAL DEFAULT  235 rtc_save_low_power_detect
 02011e49  1408 FUNC    GLOBAL DEFAULT  236 rtc_boot_check
 020123c9    36 FUNC    GLOBAL DEFAULT  237 pl_power_off
 020123ed   112 FUNC    LOCAL  DEFAULT  238 mt_read_fifo
 0201245d    56 FUNC    LOCAL  DEFAULT  239 mt_find_ep
 02012495    76 FUNC    LOCAL  DEFAULT  240 mt_udc_flush_fifo
 020124e1   132 FUNC    LOCAL  DEFAULT  241 mt_write_fifo
 02012565   108 FUNC    LOCAL  DEFAULT  242 mt_udc_ep0_write
 020125d1   124 FUNC    LOCAL  DEFAULT  243 mt_udc_epx_handler
 0201264d   168 FUNC    LOCAL  DEFAULT  244 mt_udc_reset
 020126f5    44 FUNC    LOCAL  DEFAULT  245 copy_desc
 02012721  1392 FUNC    GLOBAL DEFAULT  246 mt_udc_irq
 02012c91    56 FUNC    GLOBAL DEFAULT  247 mt_ep_write
 02012cc9    44 FUNC    GLOBAL DEFAULT  248 mt_ep_busy
 02012cf5   368 FUNC    GLOBAL DEFAULT  249 mt_setup_ep
 02012e65    16 FUNC    GLOBAL DEFAULT  250 mt_usb_connect_internal
 02012e75    16 FUNC    GLOBAL DEFAULT  251 mt_usb_disconnect_interna
 02012e85    68 FUNC    GLOBAL DEFAULT  252 udc_enable
 02012ec9    14 FUNC    GLOBAL DEFAULT  253 usb_service_offline
 02012ed9   332 FUNC    GLOBAL DEFAULT  254 mt_usb_phy_calibraion
 02013025   100 FUNC    GLOBAL DEFAULT  255 mt_usb_phy_poweron
 02013089   188 FUNC    GLOBAL DEFAULT  256 mt_usb_phy_savecurrent
 02013145   308 FUNC    GLOBAL DEFAULT  257 mt_usb_phy_recover
 02013279   100 FUNC    GLOBAL DEFAULT  258 mt_usb_calibraion
 020132dd    16 FUNC    GLOBAL DEFAULT  259 Charger_Detect_Init
 020132ed    16 FUNC    GLOBAL DEFAULT  260 Charger_Detect_Release
 020132fd    92 FUNC    GLOBAL DEFAULT  261 mt_usb_set_to_uart_mode
 02013359   112 FUNC    GLOBAL DEFAULT  262 is_uart_cable_inserted
 020133c9    34 FUNC    LOCAL  DEFAULT  263 str2wide
 020133ed    44 FUNC    LOCAL  DEFAULT  264 ep_to_buf.constprop.0
 02013419    84 FUNC    GLOBAL DEFAULT  265 usb_alloc_urb
 0201346d   764 FUNC    GLOBAL DEFAULT  266 usbdl_init
 02013769    16 FUNC    GLOBAL DEFAULT  267 tool_is_present
 02013779    16 FUNC    GLOBAL DEFAULT  268 tool_state_update
 02013789    16 FUNC    GLOBAL DEFAULT  269 usbdl_configured
 02013799   116 FUNC    GLOBAL DEFAULT  270 enable_highspeed
 0201380d    68 FUNC    GLOBAL DEFAULT  271 config_usbtty
 02013851    96 FUNC    GLOBAL DEFAULT  272 service_interrupts
 020138b1   124 FUNC    GLOBAL DEFAULT  273 usbdl_poll
 0201392d    80 FUNC    GLOBAL DEFAULT  274 usbdl_flush
 0201397d     4 FUNC    GLOBAL DEFAULT  275 mt_usbtty_flush
 02013981    88 FUNC    GLOBAL DEFAULT  276 mt_usbtty_getcn
 020139d9   116 FUNC    GLOBAL DEFAULT  277 mt_usbtty_putcn
 02013a4d    88 FUNC    GLOBAL DEFAULT  278 mt_usbtty_puts
 02013aa5    44 FUNC    GLOBAL DEFAULT  279 mt_usbtty_query_data_size
 02013ad1   144 FUNC    GLOBAL DEFAULT  280 get_part_tab_from_complie
 02013b61   500 FUNC    GLOBAL DEFAULT  281 pmt_init
 02013d55   112 FUNC    GLOBAL DEFAULT  282 pmt_get_part
